[2022-06-21T09:41:47.782] [INFO] infoFile - { route: '/auth/login', method: '[POST]' }
[2022-06-21T09:42:52.900] [INFO] infoFile - { route: '/auth/login', method: '[POST]' }
[2022-06-21T09:43:06.367] [INFO] infoFile - { route: '/auth/login', method: '[POST]' }
[2022-06-21T09:43:59.396] [INFO] infoFile - { route: '/auth/login', method: '[POST]' }
[2022-06-21T09:44:18.017] [INFO] infoFile - { route: '/auth/login', method: '[POST]' }
[2022-06-21T09:45:13.818] [INFO] infoFile - { route: '/auth/login', method: '[POST]' }
[2022-06-21T09:45:37.781] [INFO] infoFile - { route: '/auth/login', method: '[POST]' }
[2022-06-21T09:46:07.176] [INFO] infoFile - { route: '/auth/login', method: '[POST]' }
[2022-06-21T09:46:44.801] [INFO] infoFile - { route: '/auth/login', method: '[POST]' }
[2022-06-21T09:54:29.823] [INFO] infoFile - { route: '/', method: '[GET]' }
[2022-06-21T09:54:33.094] [INFO] infoFile - { route: '/favicon.ico', method: '[GET]' }
[2022-06-21T09:54:50.623] [INFO] infoFile - { route: '/auth/login', method: '[GET]' }
[2022-06-21T09:55:22.510] [INFO] infoFile - { route: '/data/prouct/get', method: '[GET]' }
[2022-06-21T09:56:08.197] [INFO] infoFile - { route: '/api/data/prouct/get', method: '[GET]' }
[2022-06-21T09:56:29.355] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T09:59:33.474] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:00:59.597] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:02:53.270] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:06:33.732] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:07:25.659] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:09:15.468] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:10:00.654] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:18:00.303] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:19:10.045] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:39:14.044] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:39:14.382] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T10:42:13.072] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:42:13.387] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T10:57:13.372] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T10:57:13.995] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
